,MUNICIPALITY ID,YEAR,VALUE,DIMENSION,INDICATOR ID,DIMENSION_COUNT,INDICATOR_COUNT,NORMALIZED,WEIGHTED
1,Alcobaça,2020,11.6,economy,1,5,4,0.506145251,10.12290503
2,Alenquer,2020,14.3,economy,1,5,4,0.52122905,10.42458101
3,Arruda dos Vinhos,2020,14.5,economy,1,5,4,0.522346369,10.44692737
4,Bombarral,2020,9.4,economy,1,5,4,0.493854749,9.877094972
5,Cadaval,2020,11.7,economy,1,5,4,0.506703911,10.13407821
6,Caldas da Rainha,2020,14.1,economy,1,5,4,0.520111732,10.40223464
7,Lourinhã,2020,14.1,economy,1,5,4,0.520111732,10.40223464
8,Nazaré,2020,13.2,economy,1,5,4,0.515083799,10.30167598
9,Óbidos,2020,12.5,economy,1,5,4,0.511173184,10.22346369
10,Peniche,2020,13.7,economy,1,5,4,0.517877095,10.3575419
11,Sobral de Monte Agraço,2020,14.6,economy,1,5,4,0.522905028,10.45810056
12,Torres Vedras,2020,13.8,economy,1,5,4,0.518435754,10.36871508
13,Alcobaça,2020,21.7,people,3,4,3,0.562569832,6.750837989
14,Alenquer,2020,21.9,people,3,4,3,0.563687151,6.76424581
15,Arruda dos Vinhos,2020,23.5,people,3,4,3,0.572625698,6.87150838
16,Bombarral,2020,21.3,people,3,4,3,0.560335196,6.724022346
17,Cadaval,2020,23.6,people,3,4,3,0.573184358,6.878212291
18,Caldas da Rainha,2020,21.1,people,3,4,3,0.559217877,6.710614525
19,Lourinhã,2020,24,people,3,4,3,0.575418994,6.905027933
20,Nazaré,2020,29,people,3,4,3,0.603351955,7.240223464
21,Óbidos,2020,21.4,people,3,4,3,0.560893855,6.730726257
22,Peniche,2020,26.9,people,3,4,3,0.591620112,7.099441341
23,Sobral de Monte Agraço,2020,35.5,people,3,4,3,0.639664804,7.675977654
24,Torres Vedras,2020,23.6,people,3,4,3,0.573184358,6.878212291
25,Alcobaça,2020,0.4,people,8,4,2,0.443575419,3.548603352
